0.782,0.822,0.841,0.867,0.878,0.886,0.888,0.905,0.887,0.884
0.774,0.813,0.837,0.851,0.866,0.885,0.896,0.891,0.875,0.876
0.767,0.821,0.844,0.869,0.881,0.884,0.895,0.901,0.894,0.889
0.775,0.812,0.839,0.865,0.887,0.898,0.903,0.897,0.886,0.879
0.785,0.825,0.831,0.857,0.871,0.882,0.888,0.893,0.897,0.888
0.779,0.824,0.843,0.861,0.875,0.879,0.884,0.892,0.896,0.891
0.778,0.825,0.832,0.852,0.865,0.877,0.884,0.896,0.902,0.894
0.778,0.814,0.841,0.862,0.872,0.881,0.889,0.904,0.894,0.891
0.777,0.822,0.831,0.857,0.878,0.891,0.903,0.899,0.889,0.892
0.783,0.824,0.837,0.854,0.867,0.879,0.884,0.895,0.898,0.896
